X,Y,Z
3000,61000,870
14000,62000,793
24000,61000,755
36000,62000,690
57000,62000,800
16000,52000,800
29000,51000,730
34000,53000,728
34000,57000,710
48000,56000,780
53000,50000,804
62000,52000,855
2000,43000,830
9000,42000,813
23000,48000,762
25000,45000,765
30000,45000,740
35000,45000,765
41000,46000,760
49000,42000,790
63000,43000,820
9000,32000,855
17000,38000,812
24000,38000,773
37000,35000,812
45000,32000,827
52000,32000,805
63000,34000,840
3000,24000,890
20000,27000,820
38000,23000,873
63000,22000,875
6000,17000,873
15000,18000,865
21000,18000,841
21000,11000,862
31000,11000,908
45000,18000,855
55000,17000,850
57000,10000,882
62000,10000,910
4000,5000,940
14000,6000,915
14000,1000,890
21000,7000,880
23000,3000,870
31000,0,880
41000,8000,960
54000,4000,890
60000,1000,860
57000,30000,830
36000,60000,705
